Cash And Cash Equivalents,Current Ratio,Debt / Net Worth,EBITDA Margin,Earnings Before Interest And Tax,Financial Leverage,Gross Profit Margin,Quick Ratio,Return On Assets,Sales / Total Assets,Senior Net Debt,Total Liabilities / Total Assets,Total Net Debt EBITDA,default,year
5,1,8,1,7,7,9,0,0,5,6,6,6,0,2015
7,1,8,1,8,7,9,1,0,5,6,6,6,1,2016
4,1,8,1,8,8,6,0,6,7,5,7,6,0,2015
4,1,9,1,8,8,6,0,6,7,6,7,6,1,2016
7,1,0,1,7,8,5,1,5,9,5,7,4,1,2015
3,5,7,1,5,5,4,1,2,8,5,4,6,0,2018
4,5,7,1,5,5,4,1,2,8,5,4,6,1,2019
3,1,9,0,0,9,8,2,0,5,2,8,2,0,2018
3,1,9,1,4,9,8,2,0,8,6,8,6,1,2019
6,1,8,1,8,7,6,0,2,5,6,6,6,1,2017
9,1,9,1,9,9,5,0,0,6,6,8,6,1,2015
3,1,9,1,1,9,9,1,0,8,6,8,6,0,2015
2,0,9,1,0,9,9,0,0,8,6,8,7,0,2016
2,0,9,1,2,9,9,0,2,8,6,8,6,0,2017
3,1,9,1,3,8,9,0,2,8,6,7,6,0,2018
3,1,9,1,3,8,9,1,2,8,6,7,6,0,2019
8,1,7,1,8,8,9,1,2,8,6,7,6,1,2020
1,1,1,1,4,8,5,1,6,9,5,7,4,0,2015
3,1,1,1,4,9,5,1,6,9,5,8,4,0,2016
2,1,1,1,4,9,5,1,6,9,5,8,4,0,2017
2,6,1,1,5,9,5,6,5,6,5,8,4,1,2018
9,1,9,1,9,9,4,0,0,6,6,8,6,1,2015
4,2,7,1,5,7,8,2,0,5,6,6,6,0,2015
4,1,7,1,5,7,8,1,2,5,6,6,6,0,2016
5,5,7,1,6,7,6,4,4,6,5,6,6,1,2017
5,1,9,1,6,9,4,1,4,6,6,8,6,0,2015
5,1,9,0,0,9,4,1,0,6,4,8,2,0,2016
5,1,0,0,0,0,5,1,0,6,2,8,2,1,2017
5,2,7,1,6,8,6,1,2,8,5,7,6,0,2015
5,3,7,1,6,8,6,2,2,8,5,7,6,1,2016
3,6,7,2,5,7,9,6,2,5,6,6,6,1,2015
6,1,7,1,5,8,4,1,2,9,6,7,7,0,2015
7,1,7,1,5,8,4,1,2,9,6,7,6,0,2016
6,2,1,1,7,7,4,2,2,9,5,6,4,1,2017
4,1,6,1,2,9,4,1,0,9,5,8,6,0,2015
4,1,8,1,2,9,4,1,0,9,6,8,6,0,2016
5,1,9,1,2,9,4,1,0,9,8,8,8,1,2017
5,3,9,1,7,8,5,4,0,5,6,7,6,1,2015
4,5,7,0,0,7,6,4,0,7,1,6,1,1,2015
4,1,7,1,5,9,5,0,6,6,5,8,6,0,2016
4,1,7,1,5,7,5,0,6,7,5,6,6,0,2017
3,2,7,1,5,7,5,1,7,9,5,6,6,0,2018
3,5,1,1,5,5,5,4,6,9,5,4,4,1,2019
7,1,7,2,8,7,6,1,5,5,6,6,6,1,2015
3,3,4,1,7,5,4,1,5,8,5,4,4,0,2015
3,5,4,1,7,5,5,4,6,8,5,4,4,1,2016
0,5,7,1,4,7,4,4,4,9,5,6,6,0,2015
1,1,9,0,0,9,0,1,0,9,4,8,3,0,2016
3,1,9,1,3,9,4,1,2,9,6,8,6,0,2017
1,1,8,1,4,9,4,1,0,9,5,8,6,0,2018
7,1,9,1,7,9,4,1,0,9,8,8,7,0,2019
2,1,9,1,6,9,4,2,4,9,6,8,7,1,2020
7,1,4,1,0,4,5,1,0,5,5,3,4,1,2015
0,0,7,2,1,5,9,0,0,2,8,4,7,0,2015
2,6,7,1,2,5,5,6,2,5,6,4,6,1,2016
4,1,7,1,5,9,4,0,5,9,6,8,6,0,2015
5,1,0,1,5,9,4,0,4,9,5,8,4,0,2016
4,1,9,1,5,9,4,0,5,9,6,8,6,0,2017
3,3,7,1,5,7,4,1,6,9,5,6,6,1,2018
